product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
Fajji Magazine Print,JujuNaught (Original),Original,Print,2,40,0,0,40,0,40,1.2,7.5,31.299999999999997
Balloon Squid Sticker,Skullgeist (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
BabyPink Shibari Sticker,Revesaulait (Collab) BabyPink,Collab,Sticker,1,5,0,0,5,0,5,0.15,2.0,2.8499999999999996
Saa T-Shirt,IntoDebu (Collab) Saa Halust,Collab,T-Shirt,1,35,0,0,35,0,35,1.05,13.99,19.96
Nat and Halie Stylized Print,Better With Salt (Original),Original,Print,0,18,0,-15,3,0,3,0.09,1.0,1.9100000000000001
Nitroplus-Sized,Lewdwok (Original),Original,Print,1,60,0,0,60,0,60,1.8,15.0,43.2
Yeet Classic Sticker Sheet,TheJieb (Original),Original,Sticker Sheet,2,18,-1.35,0,16.65,0,16.65,0.5,5.0,11.149999999999999
Yeet Classic Sticker Sheet,TheJieb (Original),Original,Sticker Sheet,2,18,0,0,18,0,18,0.54,5.0,12.46
Wide Load Bumper Stickers,KappAllNight (Original),Original,Bumper Sticker,1,41.76,0,0,41.76,0,41.76,1.25,12.0,28.509999999999998
Shie Sticker 3.5,matemi (Original),Original,Sticker,3,15,0,0,15,0,15,0.45,4.5,10.05
Star and Stripe Print,JujuNaught (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Persephone's Special Menu Charm,YummyGoods (Original),Original,Charm,2,30,0,0,30,0,30,0.9,6.0,23.1
Persephone's Special Menu Charm,YummyGoods (Original),Original,Charm,1,15,0,0,15,0,15,0.45,0.0,14.55
Flawless Beach Body Print,SweetDreamCoffee (Original),Original,Print,1,15,0,0,15,0,15,0.45,2.5,12.05
Gaz Acantha Standee,Suika's Sweets (Collab) Gaz,Collab,Standee,1,20,0,0,20,0,20,0.6,9.0,10.399999999999999
Little Beast of Halloween Charm,Vetarix (Original),Original,Charm,10,150,0,0,150,0,150,4.5,40.0,105.5
Little Beast of Halloween Charm,Vetarix (Original),Original,Charm,6,90,-15,0,75,0,75,2.25,24.0,48.75
Fat Gamer Girl Sticker,Joekie3wl (Original),Original,,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Marigold Shirt Pop Print,Mistko (Original),Original,Print,1,18,0,0,18,0,18,0.54,3.0,14.46
Podge 3D Mousepad,Podge (Commercial),Commercial,3D Mousepad,1,30,0,0,30,0,30,0.9,15.0,14.100000000000001
Yeah I'm Toxic Tee,BeePunz (Original),Original,,1,27,0,0,27,0,27,0.81,13.5,12.690000000000001
Puppers Sticker,Veune (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Letta Haste Pinup Sticker,CriKai (Original),Original,Sticker,2,10,0,0,10,0,10,0.3,3.0,6.699999999999999
Washing Down Lunch Print,Better With Salt (Original),Original,Print,1,15,0,0,15,0,15,0.45,2.5,12.05
Lofty Destroyer Print,Lewdwok (Original),Original,Print,2,45,0,0,45,0,45,1.35,8.5,35.15
Baking Cake Print,Better With Salt (Original),Original,Print,4,60,0,0,60,0.9,60.9,1.83,10.0,49.07
Miffu Tiger Sticker,JujuNaught (Original),Original,Sticker,2,10,0,0,10,0,10,0.3,3.0,6.699999999999999
Flame Gal Bikini Sticker,Bulumblebee (Original),Original,Sticker,6,30,0,0,30,0,30,0.9,9.0,20.1
Flame Gal Bikini Sticker,Bulumblebee (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
PRE-ORDER Barbatos Dakimakura,matemi (Original),Original,Daki Cover,6,421.44,0,0,421.44,0,421.44,12.64,120.0,288.8
Galactic Secretary Sticker,Skullgeist (Original),Original,Sticker,3,15,0,0,15,0,15,0.45,4.5,10.05
GamerAid Girls Stickers,SuperSpoe (Original),Original,Sticker,3,15,0,0,15,0,15,0.45,4.5,10.05
GamerAid Girls Stickers,SuperSpoe (Original),Original,Sticker,3,45,-2.25,0,42.75,0,42.75,1.28,4.5,36.97
Spooky Sticker Pack,Skullgeist (Original),Original,Sticker,1,12,0,0,12,0,12,0.36,4.5,7.140000000000001
Suzumuu Sticker,Crystalcheese (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Suzumuu Sticker,Crystalcheese (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
CriKai Halloween 2024 Sticker Bundle,CriKai (Original),Original,Sticker,1,12,-3,0,9,0,9,0.27,4.5,4.23
CriKai Halloween 2024 Sticker Bundle,CriKai (Original),Original,Sticker,1,12,0,0,12,0,12,0.36,4.5,7.140000000000001
Cowgirl Ranch Sticker,KappAllNight (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.0,3.8499999999999996
Iconic Plant Girl Sticker,Skullgeist (Original),Original,Sticker,2,10,0,0,10,0,10,0.3,3.0,6.699999999999999
A Broad Skyline Print,Better With Salt (Original),Original,Print,11,165.32,-0.77,0,164.55,0.9,165.45,4.96,27.5,132.98999999999998
Lyney Sticker 3.5,matemi (Original),Original,Sticker,3,15,0,0,15,0,15,0.45,4.5,10.05
Voraisha Plush Keychain,Teikki (Collab) Voraisha,Collab,Daki Keychain,1,13.07,0,0,13.07,0,13.07,0.39,3.0,9.68
Emily Cup - Ready to Order,SakanaNoTenshi (Original),Original,Water Bottle,1,20,0,0,20,0,20,0.6,9.95,9.45
Candy Balloon Gertrude,Lifelinelemons (Original),Original,Sticker,1,5.25,0,0,5.25,0,5.25,0.16,1.5,3.59
100% Beef Sticker,Bluuey (Original),Original,Sticker,2,10,0,0,10,0,10,0.3,3.0,6.699999999999999
100% Beef Sticker,Bluuey (Original),Original,Sticker,2,10,0,0,10,0,10,0.3,3.0,6.699999999999999
Fionna Medium Support Sticker,Bulumblebee (Original),Original,Sticker,2,16,0,0,16,0,16,0.48,5.0,10.52
Fionna Medium Support Sticker,Bulumblebee (Original),Original,Sticker,6,48,0,0,48,0,48,1.44,15.0,31.560000000000002
Vampire Christi PlayBee Halloween 2024 Print,CriKai (Original),Original,Print,2,50,0,0,50,0,50,1.5,10.0,38.5
Irresistible Print,Better With Salt (Original),Original,Print,4,66,0,0,66,0.99,66.99,2.01,14.0,50.97999999999999
Farm Fresh Tee,KappAllNight (Original),Original,T-Shirt,2,64,0,0,64,0,64,1.92,41.88,20.199999999999996
Cow Cloe Sticker,CrysNickel (Original),Original,Sticker,2,8,0,0,8,0,8,0.24,2.0,5.76
Cow Cloe Sticker,CrysNickel (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.0,3.8499999999999996
Mitsuki Print,JujuNaught (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Cowlach Sticker,Bluuey (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
BAE-Big Eyes Sticker,StixDraws (Original),Original,Sticker,1,5,-1.25,0,3.75,0,3.75,0.11,1.5,2.14
Kaiyo Daki Cover,Kaiyo (Commercial),Commercial,Daki Cover,-1,0,0,-71.26,-71.26,0,-71.26,-2.14,-20.0,-49.120000000000005
Dancer Dehya Print,StrongMoist (Original),Original,Print,1,25,0,0,25,0,25,0.75,2.5,21.75
Wake Up Call Print,Better With Salt (Original),Original,Print,1,15,0,0,15,0,15,0.45,2.5,12.05
Makima Sit Print,PT (Original),Original,,1,15,0,0,15,0,15,0.45,2.5,12.05
He Can't Swim Sticker,MTS (Original),Original,Sticker,2,11,0,0,11,0,11,0.33,3.0,7.67
Akali Print,JujuNaught (Original),Original,Print,1,25,0,0,25,0,25,0.75,2.5,21.75
Naomi's Part Time Gain,SweetDreamCoffee (Original),Original,Print,1,20,0,0,20,0,20,0.6,3.5,15.899999999999999
A Big Fat Slice of Life: Sticky Treats Set,Better With Salt (Original),Original,Sticker Sheet,2,25,-1.87,0,23.13,0,23.13,0.69,7.0,15.439999999999998
A Big Fat Slice of Life: Sticky Treats Set,Better With Salt (Original),Original,Sticker Sheet,4,51.4,0,0,51.4,0,51.4,1.54,14.0,35.86
Valentine Print,JujuNaught (Original),Original,Print,1,18,0,0,18,0,18,0.54,3.0,14.46
Stellar Cafe Charm,Skullgeist (Original),Original,Charm,1,15,0,0,15,0,15,0.45,3.0,11.55
Podge Stickers,ZSen (Collab) Podge,Collab,Sticker,1,8,0,0,8,0,8,0.24,2.0,5.76
Podge Stickers,ZSen (Collab) Podge,Collab,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Pudgy Purin Sticker [PURINTOBER CHARITY],Beanni (Original),Original,Sticker,1,7.83,0,0,7.83,0,7.83,0.23,2.5,5.1
Big Stretch 4' Sticker,KappAllNight (Original),Original,Sticker,2,10,0,0,10,0,10,0.3,3.5,6.199999999999999
Fajji PlayBunny Print,JujuNaught (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Salmon Run Print,Lewdwok (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Astolfo Sticker 3.5,matemi (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Astolfo Sticker 3.5,matemi (Original),Original,Sticker,6,30,0,0,30,0,30,0.9,9.0,20.1
Costa Del Fat,Mistko (Original),Original,,2,40,0,0,40,0,40,1.2,6.0,32.8
BAE-B On The Track Print,StixDraws (Original),Original,print,2,25.72,-1.75,0,23.97,0,23.97,0.72,5.0,18.25
Goblin Cove,SuperSpoe (Original),Original,Print,1,15,0,0,15,0,15,0.45,0.0,14.55
Moomochi 3D Belly Mousepad (PRE-ORDER),KafeKafei (Collab) Takamoom,Collab,Belly Mousepad,2,100,0,0,100,0,100,3.0,40.0,57.0
Kerfus Standees,WaifuDekai (Original),Original,Standee,4,120,0,0,120,0,120,3.6,0.0,116.4
Fantasizing WG Print,WaifuDekai (Original),Original,print,1,20.8,0,0,20.8,0,20.8,0.62,3.5,16.68
