product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
GamerAid Girls Stickers,SuperSpoe (Original),Sticker,3,45,-2.25,0,42.75,0,42.75,4.5,38.25
Spooky Sticker Pack,Skullgeist (Original),Sticker,1,12,0,0,12,0,12,4.5,7.5
Suzumuu Sticker,Crystalcheese (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Suzumuu Sticker,Crystalcheese (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
CriKai Halloween 2024 Sticker Bundle,CriKai (Original),Sticker,1,12,-3,0,9,0,9,4.5,4.5
CriKai Halloween 2024 Sticker Bundle,CriKai (Original),Sticker,1,12,0,0,12,0,12,4.5,7.5
Cowgirl Ranch Sticker,KappAllNight (Original),Sticker,1,5,0,0,5,0,5,1,4
Iconic Plant Girl Sticker,Skullgeist (Original),Sticker,2,10,0,0,10,0,10,3,7
A Broad Skyline Print,Better With Salt (Original),Print,11,165.32,-0.77,0,164.55,0.9,165.45,27.5,137.05
Lyney Sticker 3.5'',matemi (Original),Sticker,3,15,0,0,15,0,15,4.5,10.5
Voraisha Plush Keychain,Teikki (Collab) Voraisha,Daki Keychain,1,13.07,0,0,13.07,0,13.07,3,10.07
Emily Cup - Ready to Order,SakanaNoTenshi (Original),Water Bottle,1,20,0,0,20,0,20,9.95,10.05
Candy Balloon Gertrude,Lifelinelemons (Original),Sticker,1,5.25,0,0,5.25,0,5.25,1.5,3.75
100% Beef Sticker,Bluuey (Original),Sticker,2,10,0,0,10,0,10,3,7
100% Beef Sticker,Bluuey (Original),Sticker,2,10,0,0,10,0,10,3,7
Fionna Medium Support Sticker,Bulumblebee (Original),Sticker,2,16,0,0,16,0,16,5,11
Fionna Medium Support Sticker,Bulumblebee (Original),Sticker,6,48,0,0,48,0,48,15,33
Vampire Christi PlayBee Halloween 2024 Print,CriKai (Original),Print,2,50,0,0,50,0,50,10,40
Irresistible Print,Better With Salt (Original),Print,4,66,0,0,66,0.99,66.99,14,52
Farm Fresh Tee,KappAllNight (Original),T-Shirt,2,64,0,0,64,0,64,41.88,22.12
Cow Cloe Sticker,CrysNickel (Original),Sticker,2,8,0,0,8,0,8,2,6
Cow Cloe Sticker,CrysNickel (Original),Sticker,1,5,0,0,5,0,5,1,4
Mitsuki Print,JujuNaught (Original),Print,1,25,0,0,25,0,25,5,20
Cowlach Sticker,Bluuey (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
BAE-Big Eyes Sticker,StixDraws (Original),Sticker,1,5,-1.25,0,3.75,0,3.75,1.5,2.25
Kaiyo Daki Cover,Kaiyo (Commercial),Daki Cover,-1,0,0,-71.26,-71.26,0,-71.26,-20,-51.26
Dancer Dehya Print,StrongMoist (Original),Print,1,25,0,0,25,0,25,2.5,22.5
Wake Up Call Print,Better With Salt (Original),Print,1,15,0,0,15,0,15,2.5,12.5
Makima Sit Print,PT (Original),,1,15,0,0,15,0,15,2.5,12.5
He Can't Swim Sticker,MTS (Original),Sticker,2,11,0,0,11,0,11,3,8
Akali Print,JujuNaught (Original),Print,1,25,0,0,25,0,25,2.5,22.5
Naomi's Part Time Gain,SweetDreamCoffee (Original),Print,1,20,0,0,20,0,20,3.5,16.5
A Big Fat Slice of Life: Sticky Treats Set,Better With Salt (Original),Sticker Sheet,2,25,-1.87,0,23.13,0,23.13,7,16.13
A Big Fat Slice of Life: Sticky Treats Set,Better With Salt (Original),Sticker Sheet,4,51.4,0,0,51.4,0,51.4,14,37.4
Valentine Print,JujuNaught (Original),Print,1,18,0,0,18,0,18,3,15
Stellar Cafe Charm,Skullgeist (Original),Charm,1,15,0,0,15,0,15,3,12
Podge Stickers,ZSen (Collab) Podge,Sticker,1,8,0,0,8,0,8,2,6
Podge Stickers,ZSen (Collab) Podge,Sticker,1,5,0,0,5,0,5,1.5,3.5
Pudgy Purin Sticker [PURINTOBER CHARITY],Beanni (Original),Sticker,1,7.83,0,0,7.83,0,7.83,2.5,5.33
Big Stretch 4'' Sticker,KappAllNight (Original),Sticker,2,10,0,0,10,0,10,3.5,6.5
Fajji PlayBunny Print,JujuNaught (Original),Print,1,25,0,0,25,0,25,5,20
Salmon Run Print,Lewdwok (Original),Print,1,25,0,0,25,0,25,5,20
Astolfo Sticker 3.5'',matemi (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Astolfo Sticker 3.5'',matemi (Original),Sticker,6,30,0,0,30,0,30,9,21
Costa Del Fat,Mistko (Original),,2,40,0,0,40,0,40,6,34
BAE-B On The Track Print,StixDraws (Original),print,2,25.72,-1.75,0,23.97,0,23.97,5,18.97
Goblin Cove,SuperSpoe (Original),Print,1,15,0,0,15,0,15,0,0
Moomochi 3D Belly Mousepad (PRE-ORDER),KafeKafei (Collab) Takamoom,Belly Mousepad,2,100,0,0,100,0,100,40,60
Kerfus Standees,WaifuDekai (Original),Standee,4,120,0,0,120,0,120,0,0
Fantasizing WG Print,WaifuDekai (Original),print,1,20.8,0,0,20.8,0,20.8,3.5,17.3
Poors Sticker Pack 1,Poors (Original),Sticker Sheet,1,12,0,0,12,0,12,4.5,7.5
Io Oppai 3D Mousepad,ancestralpotato (Original),3D Mousepad,2,70,0,0,70,0,70,30,40
Corpulent Corporate Leadership Print,SweetDreamCoffee (Original),Print,1,15,0,0,15,0,15,2.5,12.5
Corpulent Corporate Leadership Print,SweetDreamCoffee (Original),Print,1,15,0,0,15,0,15,2.5,12.5
Lady Sticker,BambooAle (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Molly Sticker,Angstrom (Original),Sticker,2,10,0,0,10,0,10,3,7
Molly Sticker,Angstrom (Original),Sticker,5,25.85,0,0,25.85,0,25.85,7.5,18.35
Witch Poste Halloween 2024 Print,CriKai (Original),Print,1,18,-4.5,0,13.5,0,13.5,2.5,11
Miss Maki Standee,Softon (Original),Standee,1,25,0,0,25,0,25,0,0
Blissfully Oblivious,Better With Salt (Original),Print,2,30.24,-3,0,27.24,0,27.24,5,22.24
Beef Beef 3'' Sticker,Ransome Rex (Original),Sticker,3,15.25,0,0,15.25,0,15.25,4.5,10.75
Booba Tea Sticker,Gobbocks (Original),Sticker,1,5,0,0,5,0,5,1.75,3.25
Del Avry Bikini Pinup Sticker,CriKai (Original),Sticker,1,5,-0.75,0,4.25,0,4.25,1.5,2.75
Io Cheeky Print,ancestralpotato (Original),Print,1,25,0,0,25,0,25,5,20
Io Cheeky Print,ancestralpotato (Original),Print,1,25,0,0,25,0,25,5,20
Yeet Summer Sticker Sheets,TheJieb (Original),Sticker Sheet,4,60,0,0,60,0,60,18,42
