product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
Joei Heart Buttons,Joei (Commercial),Button Pin,-1,0,0,-4.5,-4.5,0,-4.5,-1.15,-3.35
Crack Pack Stickers,BobberWCC (Original),Sticker,1,20,0,0,20,0,20,7.5,12.5
Digi Kneeling Standee,Digi (Commercial),Standee,1,18,0,0,18,0,18,9,9
OLP Chibi Charm,Near (Collab) OneLittlePiranha,Acrylic Charm,1,12,0,0,12,0,12,4,8
Hunii Daki Cover 2.0,Pomme (Collab) Hunibun,dakimakura cover,1,69.99,0,0,69.99,0,69.99,20,49.99
Notice Mummy Sticker,Dormir (Collab) Missus Mummy,,1,5,0,0,5,0,5,1.5,3.5
"""Be Yourself"" Lil Sui Sticker",suikaart (original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Joei T-Shirt,Joei (Commercial),T-Shirt,1,28,0,0,28,0,28,13.99,14.01
Missus Mummy Charm,Finni (Collab) Missus Mummy,Acrylic Charm,2,24,0,0,24,0,24,8,16
Pomatomaster Standee,Shinku (Collab) Pomatomaster,Standee,4,72,0,0,72,0,72,32,40
Pomatomaster Standee,Shinku (Collab) Pomatomaster,Standee,3,54,0,0,54,1.08,55.08,24,30
Kaiyo Standee,BluMoon (Collab) Kaiyo,Standee,1,18,0,0,18,0,18,8,10
Kaiyo Standee,BluMoon (Collab) Kaiyo,Standee,1,18,0,0,18,0,18,8,10
"Cy ""One Last Beach Day"" Print",P.M. Seymour (Original),Print,1,15,0,0,15,0,15,3.5,11.5
Digi Charms,Digi (Commercial),Acrylic Charm,4,78,0,0,78,0,78,24.5,53.5
Brie Sticker Pack,BobberWCC (Original),Sticker Bundle,1,10,0,0,10,0,10,3.5,6.5
Cyana Gacha Sticker,P.M. Seymour (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Cyana Gacha Sticker,P.M. Seymour (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Umbre Daki Cover,MythicDuo (Commercial),dakimakura cover,1,69.99,0,0,69.99,0,69.99,20,49.99
Haerong 4.0 Poster,Bermuda (Collab) Haerong,Print,-1,0,0,-16.12,-16.12,0,-16.12,-3.5,-12.62
Joei Charm,Joei (Commercial),Acrylic Charm,-1,0,0,-12,-12,0,-12,-3,-9
Arky Daki Cover,Kekkitoz (Collab) Arky,,1,69.99,0,0,69.99,0,69.99,20,49.99
Missus Mummy Standee,Dormir (Collab) Missus Mummy,Standee,1,20,0,0,20,0,20,6.31,13.69
*OFFKAI OVERSTOCK!* Limited Signed Collab Posters!,Yorunomachi,Print,1,18,0,0,18,0,18,4,14
Smol Chibi Sticker,Monoyoki (Collab) Smol,Sticker,1,5,0,0,5,0,5,1,4
Savehymn Acrylic Standee,Bermuda (Collab) Savehymn,Standee,1,18,0,0,18,0,18,9,9
Maple Chicken Sticker Sheet,Beanni (Collab) Maple Chicken,Sticker Sheet,3,36.87,-9.22,0,27.65,0,27.65,6,21.65
Pomatomaster Mug,Veune (Collab) Pomatomaster,,1,20,0,0,20,0,20,7.95,12.05
Pomatomaster Mug,Veune (Collab) Pomatomaster,,1,20,0,0,20,0,20,7.95,12.05
Digi Stickers,Digi (Commercial),Sticker Bundle,3,27.36,0,0,27.36,0,27.36,9,18.36
Choji Charm,Finni (Collab) Choji,Acrylic Charm,-1,0,0,-12.5,-12.5,0,-12.5,-3.5,-9
Himeika Mei Birthday Print,Meimei (Original),Print,4,66.32,-4.5,0,61.82,0,61.82,13,48.82
Maple Chicken Zip Hoodie,zamBee (Collab) Maple Chicken,hoodie,1,56.41,-14.1,0,42.31,0,42.31,44.35,-2.04
Mia and Oochan Sticker,Miabyte (Commercial),Sticker,1,5,0,0,5,0,5,1.5,3.5
Himeika Mei Button Pin,Meimei (Original),Button Pin,5,17.65,0,0,17.65,0,17.65,4.55,13.1
Digi Deskmat,Digi (Commercial),Deskmat,1,35,0,0,35,0,35,18.95,16.05
Pomato Mission Tee (Orange Vers.),Pomatomaster (Commercial),,1,30,0,0,30,0,30,15.19,14.81
Rat Mat Rat Hat,BobberWCC (Original),,1,28,0,0,28,0,28,18.9,9.1
Pomatomaster Sticker Sheet,Monoyoki (Collab) Pomatomaster,Sticker,2,18,0,0,18,0,18,3,15
Pomatomaster Sticker Sheet,Monoyoki (Collab) Pomatomaster,Sticker,2,18,0,0,18,0.54,18.54,3,15
Pomato Mission Hat (Greyscale Vers.),Pomatomaster (Commercial),,2,50,0,0,50,0,50,34.4,15.6
"Cy ""One Last Beach Day"" Deskmat",P.M. Seymour,Deskmat,1,35,0,0,35,0,35,18.95,16.05
Kaiyo 3D Mousepad,Kaiyo (Commercial),3D Mousepad,1,60,0,-31.28,28.72,0,28.72,15,13.72
Summer Kaiyo Photocards,Kaiyo (Commercial),Photocard,1,6.5,0,0,6.5,0,6.5,1,5.5
Pomatomaster Charm,Veune (Collab) Pomatomaster,Acrylic Charm,3,36,0,0,36,0,36,10.5,25.5
Pomatomaster Charm,Veune (Collab) Pomatomaster,Acrylic Charm,4,48.24,0,0,48.24,0,48.24,14,34.24
Joei Poster,Joei (Commercial),Print,1,15,0,0,15,0,15,2.5,12.5
Cy Beach Episode,P.M. Seymour (Original),Print,1,15,0,0,15,0,15,3,12
Haerong You Dropped This! Sticker,Monoyoki (Collab) Haerong,,-1,0,0,-5.34,-5.34,0,-5.34,0,0
Missus Mummy Daki Cover,Missus Mummy (Commercial),dakimakura cover,1,69.99,0,0,69.99,0,69.99,20,49.99
Valentine Sticker,Finni (Collab) Valentine,Sticker,2,10,0,0,10,0,10,2,8
Smol Peeker Sticker,Monoyoki (Collab) Smol,Sticker,1,6.5,0,0,6.5,0,6.5,1,5.5
Digi Model Standee,Digi (Commercial),Standee,3,54.73,0,0,54.73,0,54.73,27,27.73
Nasu Standee,Kekkitoz (Collab) Nasu,Standee,1,18,0,0,18,0,18,8.5,9.5
Cherry on Top Sticker,suikaart (Original),,1,5,0,0,5,0,5,2.2,2.8
Eat Cheese and Sin Sticker,BobberWCC (Original),Sticker,5,25,0,0,25,0,25,7.5,17.5
