product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
Candy Balloon Patchouli,Lifelinelemons,Original,Sticker,1,7.45,-1.86,0,5.59,0,5.59,0.17,3,2.42
The Incident Standee,Nyanilla,Original,Standee,1,18,0,0,18,0,18,0.54,10,7.46
Pumpkin Letta Halloween 2024 Print,CriKai,Original,Print,1,25,0,0,25,0,25,0.75,5,19.25
Yeetbun Print 12x12,TheJieb,Original,Print,1,15,0,0,15,0,15,0.45,3,11.55
Fat Gamer Girl Sticker,Joekie3wl,Original,,3,15,0,0,15,0,15,0.45,1.5,13.05
Orpheus Print,Radium225,Original,,1,15,0,0,15,0,15,0.45,2.5,12.05
Del Avry Bikini Pinup Sticker,CriKai,Original,Sticker,2,12,0,0,12,0,12,0.36,1.5,10.14
"Kerfus (1) 3"" Sticker",WaifuDekai,Original,Sticker,1,5,-1.25,0,3.75,0,3.75,0.11,1.5,2.14
Miffu Tiger Sticker,JujuNaught,Original,Sticker,4,20,-1.25,0,18.75,0,18.75,0.56,6,12.19
Orbitz Intergalactic Cafe Print,Marauder6272,Original,Print,1,25,0,0,25,0,25,0.75,5,19.25
GamerAid Girls Stickers,SuperSpoe,Original,Sticker,3,15,0,0,15,0,15,0.45,4.5,10.05
Orbitz Cafe Mug,Marauder6272,Original,Mug,3,48,0,0,48,0,48,1.44,23.85,22.71
BAE-B Under the Covers Print (11x17),StixDraws,Original,print,1,18.75,0,0,18.75,0,18.75,0.56,3.5,14.69
Pinky Booty Sticker,matemi,Original,Sticker,1,5,0,0,5,0,5,0.15,2,2.85
Michiru Sticker 3.5,matemi,Original,Sticker,5,25,-1.25,0,23.75,0,23.75,0.71,7.5,15.54
Satsuki Print,JujuNaught,Original,Print,1,25,0,0,25,0,25,0.75,2.5,21.75
For the Goddess Sticker Pack,HellBrains,Original,Sticker Sheet,2,40,-5,0,35,0,35,1.05,12,21.95
Blimp Miri Sticker,Nyanilla,Original,Sticker,2,10,0,0,10,0,10,0.3,3,6.7
Combo Meal 3x3 Sticker Pack,BurgerKurger,Original,Sticker,7,75.51,-2.62,0,72.89,0,72.89,2.19,22.5,48.2
Wendie's Print,JujuNaught,Original,Print,1,18,0,0,18,0,18,0.54,3,14.46
A Big Fat Slice of Life: Sticky Treats Set,Better With Salt,Original,Sticker Sheet,2,37.5,0,-11.25,26.25,0,26.25,0.79,7,18.46
Candy Balloon Gertrude,Lifelinelemons,Original,Sticker,1,7.45,-1.86,0,5.59,0,5.59,0.17,3,2.42
Voraisha Deskmat,KafeKafei,Collab,Deskmat,1,35.95,0,0,35.95,0,35.95,1.08,18.95,15.92
Emily Cup - Ready to Order,SakanaNoTenshi,Original,Water Bottle,2,40,0,0,40,0,40,1.2,19.9,18.9
Goths of Fodlan Sticker Collection,Bluuey,Original,Sticker,1,25,-6.25,0,18.75,0,18.75,0.56,9,9.19
Uya Dairy Free Sticker,Klebo,Original,Sticker,1,8,0,0,8,0,8,0.24,1,6.76
Iconic Plant Girl (Standee),Skullgeist,Original,Standee,6,150.78,-5,0,145.78,0,145.78,4.37,60,81.41
X-BurgerG0dde55_Xx Photocard Set,KappAllNight,Original,Photocard,13,305.73,0,0,305.73,0,305.73,9.17,91.25,205.31
Sneaker Mommy Sticker,Crystalcheese,Original,Sticker,1,5,-1.25,0,3.75,0,3.75,0.11,1.5,2.14
Build-A-Batty Sticker Set,VeryBatty,Original,Build A Sticker Sticker Sheet,1,20,-5,0,15,0,15,0.45,8,6.55
Vampire Christi Halloween Pinup Sticker,CriKai,Original,Sticker,2,12,0,0,12,0,12,0.36,4,7.64
Io Oppai Print,ancestralpotato,Original,Poster,1,25,0,0,25,0,25,0.75,5,19.25
Toasted Berries Sticker Sheet,CxC,Collab,Sticker Sheet,1,12,0,0,12,0,12,0.36,3,8.64
Marigold Shirt Pop Print,Mistko,Original,Print,1,18.52,-0.93,0,17.59,0,17.59,0.53,3,14.06
2B Step Sticker,BambooAle,Original,Sticker,8,45,-2.5,-5,37.5,0,37.5,1.12,12,24.38
Beef Beef 3' Sticker,Ransome Rex,Original,Sticker,2,10,0,0,10,0,10,0.3,3,6.7
9s Print,matemi,Original,print,3,51.41,0,0,51.41,0,51.41,1.54,9.5,40.37
Delivery Girls Day Out Sticker,CriKai,Original,Sticker,1,7,0,0,7,0,7,0.21,2.5,4.29
Io Cheeky Print,ancestralpotato,Original,Print,1,25,0,0,25,0,25,0.75,5,19.25
BabyPink Sticker Sheet,SwoleFin,Collab,Sticker Sheet,1,12,0,0,12,0,12,0.36,3,8.64
[ PRE-ORDER ]Panty and Stocking Hyper Standees,TheHelmetGuy,Original,Standee,3,135,0,0,135,0,135,4.05,48,82.95
Dancer Dehya Print,StrongMoist,Original,Print,1,15.56,-0.78,0,14.78,0,14.78,0.44,2.5,11.84
Loona Sticker 1,moiyablochki,Original,Sticker,5,25,-1.25,0,23.75,0,23.75,0.71,7.5,15.54
Fajji Magazine Print,JujuNaught,Original,Print,2,36,0,0,36,0,36,1.08,7,27.92
YeetBun Sticker Sheet,TheJieb,Original,Sticker Sheet,2,18.37,0,0,18.37,0,18.37,0.55,5,12.82
Just One More Bite | Not Enough Bites Sticker Sheet!,SweetDreamCoffee,Original,Sticker Sheet,2,25,0,0,25,0,25,0.75,7,17.25
Tummy Ache Survivor,PrinceMatchaCakes,Original,Sticker,2,10,0,0,10,0,10,0.3,3,6.7
Galactic Secretary,Skullgeist,Original,Sticker,2,10.19,-1.51,0,8.68,0,8.68,0.26,3,5.42
Letta Haste Pinup Sticker,CriKai,Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.35
Big Stretch 4' Sticker,KappAllNight,Original,Sticker,3,15,0,0,15,0,15,0.45,5.25,9.3
Yeet Classic Print 11x11,TheJieb,Original,Print,2,30,0,0,30,0,30,0.9,7,22.1
Blissfully Oblivious,Better With Salt,Original,Print,1,15,0,0,15,0.9,15.9,0.48,2.5,12.92
"Emily 3"" Sticker",WaifuDekai,Original,Sticker,1,5,-1.25,0,3.75,0,3.75,0.11,1.5,2.14
Momoko Swimsuit Sticker,Crystalcheese,Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.35
Io Shower Print,ancestralpotato,Original,Print,1,25,0,0,25,0,25,0.75,5,19.25
Emotional Support BAE-B (ALT) Hoodie,StixDraws,Original,Hoodie,1,55,0,0,55,3.3,58.3,1.75,42.45,14.1
Gaz Acantha Daki Cover,Gaz (Commercial),Commercial,Daki Cover,3,375,0,0,375,0,375,11.25,120,243.75
Fapolantern OC Stickers,Fapolantern,Original,Sticker,3,22.5,-2.5,0,20,0,20,0.6,7.5,11.9
Sweltering Sunbather Print,Better With Salt,Original,Print,1,30,0,-15,15,0,15,0.45,2.5,12.05
